step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
773,156058,1546,0.024510,0.0,0.5,NaN,NaN,NaN,0.629534,0.649351,0.851064,0.635860,0.725926,0.736648
1545,312114,3090,0.019135,1.0,1.0,0.023455,0.5,0.8,0.660622,0.718487,0.727660,0.687178,0.762502,0.723044
