step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
88,16640,176,0.03153594484781934,0.5,0.8,,,,,,,,,
89,16850,178,0.037986119306017196,0.5,0.8,0.02468348539078182,1.0,1.0,,,,,,
90,17092,180,0.031977913040659285,0.5,0.8,,,,,,,,,
91,17334,182,0.03715453623707678,0.5,0.8,,,,,,,,,
92,17576,184,0.03300047484556368,0.5,0.8,,,,,,,,,
93,17834,186,0.028966277188026197,1.0,1.0,,,,,,,,,
94,18060,188,0.030201856554753513,0.5,0.8333333333333334,,,,,,,,,
95,18206,190,0.03340881617384487,0.5,0.8,,,,,,,,,
96,18432,192,0.03617560357051454,0.0,0.5,,,,,,,,,
97,18658,194,0.03661595597339329,0.5,0.8,0.030575620869533922,0.5,0.75,,,,,,
98,18916,196,0.02677593489339202,0.0,0.6666666666666666,,,,,,,,,
99,19158,198,0.03146542774610984,0.5,0.8333333333333334,,,,,,,,,
100,19400,200,0.028397789546601417,1.0,1.0,,,,,,,,,
101,19530,202,0.04765378578778383,0.5,0.8,,,,,,,,,
102,19676,204,0.020435138292972017,1.0,1.0,,,,,,,,,
103,19886,206,0.04945554099037019,0.0,0.5,,,,,,,,,
104,20144,208,0.033986291677965144,0.5,0.8,,,,,,,,,
105,20354,210,0.027504345068096323,0.5,0.8,0.040715860325077444,0.5,0.8,,,,,,
106,20484,212,0.029521347801417054,1.0,1.0,,,,,,,,,
107,20582,214,0.03756535038794937,1.0,1.0,,,,,,,,,
108,20696,216,0.04917067214300395,0.5,0.8,,,,,,,,,
109,20906,218,0.026531166084278086,0.5,0.8,,,,,,,,,
110,21052,220,0.038999662276150454,0.0,0.5,,,,,,,,,
111,21262,222,0.03133655122604418,0.0,0.5,,,,,,,,,
112,21440,224,0.03379250930459834,0.0,0.6666666666666666,,,,,,,,,
113,21554,226,0.04531163916765114,0.0,0.6666666666666666,0.027274105521498615,0.0,0.6666666666666666,,,,,,
114,21716,228,0.027834584207626904,0.5,0.8,,,,,,,,,
115,21942,230,0.028265111777514645,0.5,0.8333333333333334,,,,,,,,,
116,22088,232,0.03359464901579082,1.0,1.0,,,,,,,,,
117,22282,234,0.043809077180861404,0.0,0.5,,,,,,,,,
118,22412,236,0.04575759387001199,0.5,0.8,,,,,,,,,
119,22558,238,0.05694222822516167,0.0,0.5,,,,,,,,,
120,22720,240,0.026814889100904116,1.0,1.0,,,,,,,,,
121,22978,242,0.031129296671306296,0.5,0.8,0.04093487886465482,0.0,0.5,,,,,,
122,23092,244,0.03174699831504508,1.0,1.0,,,,,,,,,
123,23350,246,0.026712937504098592,1.0,1.0,,,,,,,,,
124,23624,248,0.03242003166477951,0.0,0.6666666666666666,,,,,,,,,
125,23738,250,0.0401955883852913,0.5,0.8,,,,,,,,,
126,23980,252,0.032532683108972074,1.0,1.0,,,,,,,,,
127,24110,254,0.038372634629672574,0.5,0.8,,,,,,,,,
128,24256,256,0.025679357727597867,1.0,1.0,,,,,,,,,
129,24546,258,0.021174606124643308,0.5,0.8,0.030556932519270046,0.0,0.5,,,,,,
130,24756,260,0.024127718592061195,1.0,1.0,,,,,,,,,
131,25014,262,0.027193414045968894,0.5,0.8,,,,,,,,,
132,25272,264,0.03631299557204784,0.0,0.5,,,,,,,,,
133,25530,266,0.02754317324436201,0.5,0.8,,,,,,,,,
134,25708,268,0.03302078281713958,0.5,0.6,,,,,,,,,
135,25950,270,0.02644597296609694,0.5,0.8,,,,,,,,,
136,26224,272,0.028946366315906157,0.5,0.8333333333333334,,,,,,,,,
137,26450,274,0.027665188841717408,0.5,0.8333333333333334,0.028574208250065566,1.0,1.0,,,,,,
138,26708,276,0.027158949713807494,0.5,0.8,,,,,,,,,
139,26918,278,0.0282735897279795,0.5,0.8333333333333334,,,,,,,,,
140,27192,280,0.025450630317248882,0.5,0.8,,,,,,,,,
141,27322,282,0.035885350983137415,0.5,0.8,,,,,,,,,
142,27564,284,0.023444662613537125,1.0,1.0,,,,,,,,,
143,27710,286,0.04387788305055032,0.0,0.5,,,,,,,,,
144,27920,288,0.02619967857590382,0.5,0.8,,,,,,,,,
145,28402,290,0.020823858232581798,0.5,0.8333333333333334,0.02595595736854323,1.0,1.0,,,,,,
146,28596,292,0.03156997029628201,0.5,0.8,,,,,,,,,
147,28838,294,0.03031910855833121,0.5,0.75,,,,,,,,,
148,29048,296,0.0335832427481252,0.0,0.6666666666666666,,,,,,,,,
149,29274,298,0.030873766650311156,0.5,0.8,,,,,,,,,
150,29612,300,0.02788709963348776,0.5,0.8,,,,,,,,,
151,29742,302,0.04063356884013501,0.5,0.8,,,,,,,,,
152,29872,304,0.04169495096015453,0.5,0.8,,,,,,,,,
153,30050,306,0.029951913250108028,0.5,0.75,0.035662216705695755,0.5,0.8,,,,,,
154,30260,308,0.029647048422986974,0.5,0.8333333333333334,,,,,,,,,
155,30470,310,0.03999853046826852,0.5,0.8,,,,,,,,,
